rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,id
81,spotify:track:4rMEoXVYww6Xy7q9wSj4gy,Lim Young Woong,Love Always Run Away,MOST CONTENTS,24,83,151,53970,4rMEoXVYww6Xy7q9wSj4gy
82,spotify:track:34DtDWmIUacoop6Md298vE,PLAVE,Pump Up The Volume!,VLAST,26,59,7,53793,34DtDWmIUacoop6Md298vE
83,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,18,77,17,53201,2tHwzyyOLoWSFqYNjeVMzj
84,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,NewJeans,Attention,ADOR,1,82,114,51935,2pIUpMhHL6L9Z5lnKxJJr9
85,spotify:track:7ov3TDp5D00Rnu5R1viX4w,"LISA, ROSALÍA",New Woman (feat. ROSALÍA),Lloud Co./RCA Records,16,73,7,51818,7ov3TDp5D00Rnu5R1viX4w
86,spotify:track:4JK1kDUdH9RTBQrrSO1QfR,Yuuri,ベテルギウス,Sony Music Labels Inc.,21,85,77,51469,4JK1kDUdH9RTBQrrSO1QfR
87,spotify:track:1T6xi2QrnmwaebXGvWAjLg,PLAVE,WAY 4 LUV,VLAST,44,76,7,51233,1T6xi2QrnmwaebXGvWAjLg
88,spotify:track:5h1BN75CEh8wdSwE1xrbSe,V,Slow Dancing,BIGHIT MUSIC,4,88,55,50947,5h1BN75CEh8wdSwE1xrbSe
89,spotify:track:3lwK3WyKAI5bUuGY1OgGbZ,LE SSERAFIM,Smart,SOURCE MUSIC,10,103,33,50938,3lwK3WyKAI5bUuGY1OgGbZ
90,spotify:track:1QPV3QoWw3rRKPeYoX8kO8,YEONJUN,GGUM,Republic Records - TXT,74,74,2,50853,1QPV3QoWw3rRKPeYoX8kO8
91,spotify:track:567e29TDzLwZwfDuEpGTwo,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,94,169,49840,567e29TDzLwZwfDuEpGTwo
92,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,92,142,40,49637,3xKsf9qdS1CyvXSMEid6g8
93,spotify:track:1OhIn0L6iofnk5bjalWfHq,ECLIPSE,Sudden Shower,"Genie Music Corporation, Stone Music Entertainment",26,90,22,49593,1OhIn0L6iofnk5bjalWfHq
94,spotify:track:5BqwC9kOBbqYkzdOKeXFFk,JANNABI,for lovers who hesitate,PEPONI MUSIC,55,99,186,49479,5BqwC9kOBbqYkzdOKeXFFk
95,spotify:track:4p4yxplNCSmt9xfaAMpcd5,BIG Naughty,Vancouver,H1GHR MUSIC RECORDS,40,110,125,49119,4p4yxplNCSmt9xfaAMpcd5
96,spotify:track:2gkVEnpahpE3bQuvGuCpAV,Jung Kook,Yes or No,BIGHIT MUSIC,7,92,48,49018,2gkVEnpahpE3bQuvGuCpAV
97,spotify:track:04TshWXkhV1qkqHzf31Hn6,Kenshi Yonezu,Lemon,Sony Music Labels Inc.,25,98,99,48642,04TshWXkhV1qkqHzf31Hn6
98,spotify:track:2O4Bb2WCkjlTPO827OnBMI,LE SSERAFIM,EASY,SOURCE MUSIC,3,100,33,48565,2O4Bb2WCkjlTPO827OnBMI
99,spotify:track:1E14FuM0BRaHAJSJ9YxMVu,Lim Young Woong,A Psalm of Life,물고기뮤직,26,93,121,48173,1E14FuM0BRaHAJSJ9YxMVu
100,spotify:track:2lsRp40mCRkhqULWdMbOzn,Lim Young Woong,I Love You,물고기뮤직,15,96,125,48150,2lsRp40mCRkhqULWdMbOzn
101,spotify:track:0dS2u2UFd88TIzDDaZDLvS,d4vd,Here With Me,Darkroom/Interscope Records,72,156,90,48002,0dS2u2UFd88TIzDDaZDLvS
102,spotify:track:3s761CQaziQ0GEN1yUkIsG,Nerd Connection,‎Good Night Good Dream,Your Summer,81,105,109,47820,3s761CQaziQ0GEN1yUkIsG
103,spotify:track:7wLJ4xzxNss5abZ1kXs242,"Car, the garden",Closely Far Away,니즈뮤직,103,172,3,47312,7wLJ4xzxNss5abZ1kXs242
104,spotify:track:2cxcqKwQtfKq7giphxjzOu,tuki.,晩餐歌,月面着陸計画,86,87,17,47073,2cxcqKwQtfKq7giphxjzOu
105,spotify:track:3UQqoKVHxCodlqcdy8yeLb,KEY,Golden,SM Entertainment,105,165,2,47007,3UQqoKVHxCodlqcdy8yeLb
106,spotify:track:4xun4NeTMbv8dCzORoPA0w,KEY,Overthink,SM Entertainment,106,171,2,46597,4xun4NeTMbv8dCzORoPA0w
107,spotify:track:0OA00aPt3BV10qeMIs3meW,"Hanumankind, Kalmi",Big Dawgs,Universal Music India Pvt Ltd.,51,91,8,46171,0OA00aPt3BV10qeMIs3meW
108,spotify:track:365znJ27Fb3faGsctmQYWR,Lim Young Woong,Father,물고기뮤직,29,104,120,46143,365znJ27Fb3faGsctmQYWR
109,spotify:track:1SS0WlKhJewviwEDZ6dWj0,"ZICO, JENNIE",SPOT!,KOZ Entertainment,2,109,23,45462,1SS0WlKhJewviwEDZ6dWj0
